Class,Test,Display,Timestamp,Item Count,Scenario,Queries,Range,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-11-27T22:09:07.8186445,20000,Warmup,20000,1000000.0,20000,11090800,20000,5367600
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny Few, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-11-27T22:09:07.8186445,1000,Tiny Few,1000,1000000.0,1000,157700,1000,178400
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Small Few, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-11-27T22:09:07.8186445,10000,Small Few,1000,1000000.0,10000,2628400,1000,353100
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[4] Random Gaussian Sampling Scenario = Medium Few, ITEM_COUNT = 100_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-11-27T22:09:07.8186445,100000,Medium Few,1000,1000000.0,100000,55391000,1000,748100
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[5] Random Gaussian Sampling Scenario = Large Few, ITEM_COUNT = 1_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-11-27T22:09:07.8186445,1000000,Large Few,1000,1000000.0,1000000,754948100,1000,974200
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[6] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-11-27T22:09:07.8186445,1000,Tiny Some,10000,1000000.0,1000,105600,10000,3755900
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[7] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-11-27T22:09:07.8186445,10000,Small Some,10000,1000000.0,10000,1921400,10000,2060200
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[8] Random Gaussian Sampling Scenario = Medium Some, ITEM_COUNT = 100_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-11-27T22:09:07.8186445,100000,Medium Some,10000,1000000.0,100000,35447800,10000,4602400
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[9] Random Gaussian Sampling Scenario = Tiny Many, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 100_000",2023-11-27T22:09:07.8186445,1000,Tiny Many,100000,1000000.0,1000,103500,100000,13080100
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[10] Random Gaussian Sampling Scenario = Small Many, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 100_000",2023-11-27T22:09:07.8186445,10000,Small Many,100000,1000000.0,10000,1649200,100000,17333900
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[11] Random Gaussian Sampling Scenario = Tiny Many, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 1_000_000",2023-11-27T22:09:07.8186445,1000,Tiny Many,1000000,1000000.0,1000,112100,1000000,128466800
