Class,Test,Display,Timestamp,Queries,Range,Item Count,Scenario,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T20:50:43.7744886,20000,1000000.0,20000,Warmup,20000,2697200,20000,2181400
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,1000,Tiny Some,1000,86600,10000,888200
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,2000,Tiny Some,2000,295600,10000,732500
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[4] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,3000,Tiny Some,3000,477000,10000,1297800
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[5] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,4000,Tiny Some,4000,476400,10000,861400
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[6] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,5000,Tiny Some,5000,458600,10000,1024400
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[7] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,6000,Tiny Some,6000,699500,10000,923200
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[8] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,7000,Tiny Some,7000,966200,10000,1560200
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[9] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,8000,Tiny Some,8000,774800,10000,1016700
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[10] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,9000,Tiny Some,9000,1025200,10000,1054500
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Gaussian,"[11] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,10000,Small Some,10000,1014400,10000,1103700
