Class,Test,Display,Timestamp,Queries,Range,Item Count,Scenario,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[1] Random Linear Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T20:50:43.7744886,20000,1000000.0,20000,Warmup,20000,6729500,20000,12639500
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[2] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,1000,Tiny Some,1000,212900,10000,1592500
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[3] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,2000,Tiny Some,2000,242200,10000,1236100
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[4] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,3000,Tiny Some,3000,311800,10000,968800
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[5] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,4000,Tiny Some,4000,408500,10000,949300
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[6] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,5000,Tiny Some,5000,526300,10000,1159200
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[7] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,6000,Tiny Some,6000,561700,10000,1346000
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[8] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,7000,Tiny Some,7000,644900,10000,1071300
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[9] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,8000,Tiny Some,8000,876900,10000,1100200
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[10] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,9000,Tiny Some,9000,890000,10000,1357800
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[11] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,10000,Small Some,10000,1012900,10000,1199100
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[12] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,20000,Small Some,20000,2326500,10000,1252200
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[13] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 30_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,30000,Small Some,30000,3568500,10000,1413500
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[14] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 40_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,40000,Small Some,40000,5147000,10000,1553500
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[15] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 50_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,50000,Small Some,50000,7151100,10000,4962500
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[16] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 60_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,60000,Small Some,60000,8669600,10000,1683500
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[17] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 70_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,70000,Small Some,70000,9892400,10000,1658300
io.nanovc.indexing.examples.x.XIndex1DTests$BinaryTreeTests,index_Random_Linear,"[18] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 80_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:50:43.7744886,10000,1000000.0,80000,Small Some,80000,12143700,10000,1931200
