Class,Test,Display,Timestamp,Item Count,Range,Queries,Scenario,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-18T20:52:42.106647,20000,1000000.0,20000,Warmup,20000,6785100,20000,55364300
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny Few, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,1000,1000000.0,1000,Tiny Few,1000,227900,1000,339100
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny Few, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,2000,1000000.0,1000,Tiny Few,2000,598600,1000,417500
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[4] Random Gaussian Sampling Scenario = Tiny Few, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,3000,1000000.0,1000,Tiny Few,3000,798600,1000,559000
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[5] Random Gaussian Sampling Scenario = Tiny Few, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,4000,1000000.0,1000,Tiny Few,4000,877200,1000,363600
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[6] Random Gaussian Sampling Scenario = Tiny Few, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,5000,1000000.0,1000,Tiny Few,5000,3396400,1000,354800
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[7] Random Gaussian Sampling Scenario = Tiny Few, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,6000,1000000.0,1000,Tiny Few,6000,3398100,1000,620500
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[8] Random Gaussian Sampling Scenario = Tiny Few, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,7000,1000000.0,1000,Tiny Few,7000,2389300,1000,834800
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[9] Random Gaussian Sampling Scenario = Tiny Few, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,8000,1000000.0,1000,Tiny Few,8000,1191400,1000,345600
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[10] Random Gaussian Sampling Scenario = Tiny Few, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,9000,1000000.0,1000,Tiny Few,9000,1233300,1000,354000
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[11] Random Gaussian Sampling Scenario = Small Few, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,10000,1000000.0,1000,Small Few,10000,1394300,1000,404300
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[12] Random Gaussian Sampling Scenario = Small Few, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,20000,1000000.0,1000,Small Few,20000,2725000,1000,10680600
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[13] Random Gaussian Sampling Scenario = Small Few, ITEM_COUNT = 30_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,30000,1000000.0,1000,Small Few,30000,4871300,1000,603400
