Class,Test,Display,Timestamp,Item Count,Range,Queries,Scenario,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Linear,"[1] Random Linear Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-18T20:52:42.106647,20000,1000000.0,20000,Warmup,20000,9257900,20000,120093900
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Linear,"[2] Random Linear Sampling Scenario = Tiny Few, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,1000,1000000.0,1000,Tiny Few,1000,1597000,1000,2209400
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Linear,"[3] Random Linear Sampling Scenario = Tiny Few, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,2000,1000000.0,1000,Tiny Few,2000,3062900,1000,2412600
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Linear,"[4] Random Linear Sampling Scenario = Tiny Few, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,3000,1000000.0,1000,Tiny Few,3000,3866800,1000,1773700
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Linear,"[5] Random Linear Sampling Scenario = Tiny Few, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,4000,1000000.0,1000,Tiny Few,4000,1316800,1000,1492500
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Linear,"[6] Random Linear Sampling Scenario = Tiny Few, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,5000,1000000.0,1000,Tiny Few,5000,3831500,1000,1537600
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Linear,"[7] Random Linear Sampling Scenario = Tiny Few, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,6000,1000000.0,1000,Tiny Few,6000,3607700,1000,1400000
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Linear,"[8] Random Linear Sampling Scenario = Tiny Few, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,7000,1000000.0,1000,Tiny Few,7000,1464200,1000,1437000
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Linear,"[9] Random Linear Sampling Scenario = Tiny Few, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,8000,1000000.0,1000,Tiny Few,8000,1613300,1000,1401000
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Linear,"[10] Random Linear Sampling Scenario = Tiny Few, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,9000,1000000.0,1000,Tiny Few,9000,1958400,1000,1900700
