Class,Test,Display,Timestamp,Item Count,Scenario,Queries,Range,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[1] Random Linear Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-11-27T22:11:57.5503693,20000,Warmup,20000,1000000.0,20000,968700,20000,2831350100
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[2] Random Linear Sampling Scenario = Tiny Few, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-11-27T22:11:57.5503693,1000,Tiny Few,1000,1000000.0,1000,53200,1000,6973800
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[3] Random Linear Sampling Scenario = Small Few, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-11-27T22:11:57.5503693,10000,Small Few,1000,1000000.0,10000,420000,1000,72059300
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[4] Random Linear Sampling Scenario = Medium Few, ITEM_COUNT = 100_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-11-27T22:11:57.5503693,100000,Medium Few,1000,1000000.0,100000,3593600,1000,738758000
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[5] Random Linear Sampling Scenario = Large Few, ITEM_COUNT = 1_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-11-27T22:11:57.5503693,1000000,Large Few,1000,1000000.0,1000000,41657300,1000,7141662100
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[6] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-11-27T22:11:57.5503693,1000,Tiny Some,10000,1000000.0,1000,44400,10000,69491600
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[7] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-11-27T22:11:57.5503693,10000,Small Some,10000,1000000.0,10000,506600,10000,685771100
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[8] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 100_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-11-27T22:11:57.5503693,100000,Medium Some,10000,1000000.0,100000,3511500,10000,7026934500
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[9] Random Linear Sampling Scenario = Tiny Many, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 100_000",2023-11-27T22:11:57.5503693,1000,Tiny Many,100000,1000000.0,1000,33200,100000,682448600
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[10] Random Linear Sampling Scenario = Small Many, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 100_000",2023-11-27T22:11:57.5503693,10000,Small Many,100000,1000000.0,10000,348100,100000,6845598900
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[11] Random Linear Sampling Scenario = Tiny Many, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 1_000_000",2023-11-27T22:11:57.5503693,1000,Tiny Many,1000000,1000000.0,1000,45200,1000000,6817495200
