Class,Test,Display,Timestamp,Item Count,Range,Queries,Scenario,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[1] Random Linear Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-19T00:39:10.3495276,20000,1000000.0,20000,Warmup,20000,2672900,20000,2809500500
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[2] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,1000,1000000.0,10000,Tiny Some,1000,106200,10000,70608000
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[3] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,2000,1000000.0,10000,Tiny Some,2000,168700,10000,139161200
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[4] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,3000,1000000.0,10000,Tiny Some,3000,144600,10000,203373600
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[5] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,4000,1000000.0,10000,Tiny Some,4000,153800,10000,272877700
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[6] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,5000,1000000.0,10000,Tiny Some,5000,182900,10000,357180900
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[7] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,6000,1000000.0,10000,Tiny Some,6000,310600,10000,397767100
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[8] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,7000,1000000.0,10000,Tiny Some,7000,247100,10000,411516100
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[9] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,8000,1000000.0,10000,Tiny Some,8000,380000,10000,484143200
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[10] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,9000,1000000.0,10000,Tiny Some,9000,399400,10000,548421700
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[11] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,10000,1000000.0,10000,Small Some,10000,391700,10000,618172100
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[12] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,20000,1000000.0,10000,Small Some,20000,800600,10000,1195413100
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[13] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 30_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,30000,1000000.0,10000,Small Some,30000,1004900,10000,1778394300
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[14] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 40_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,40000,1000000.0,10000,Small Some,40000,1622400,10000,2391640500
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[15] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 50_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,50000,1000000.0,10000,Small Some,50000,2043900,10000,2970327400
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[16] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 60_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,60000,1000000.0,10000,Small Some,60000,1955600,10000,3537529600
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[17] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 70_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,70000,1000000.0,10000,Small Some,70000,2660200,10000,4128444600
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[18] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 80_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,80000,1000000.0,10000,Small Some,80000,2764400,10000,4762519000
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[19] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 90_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,90000,1000000.0,10000,Small Some,90000,3096800,10000,5380290200
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[20] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 100_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,100000,1000000.0,10000,Medium Some,100000,3346100,10000,5981101700
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[21] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 200_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,200000,1000000.0,10000,Medium Some,200000,7486900,10000,12006015100
