Class,Test,Display,Timestamp,Queries,Range,Item Count,Scenario,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T22:42:18.4968508,20000,1000000.0,20000,Warmup,20000,451100,20000,1514561000
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,1000,Tiny Some,1000,20400,10000,39935700
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,2000,Tiny Some,2000,39400,10000,75170600
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Gaussian,"[4] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,3000,Tiny Some,3000,59800,10000,115151900
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Gaussian,"[5] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,4000,Tiny Some,4000,70000,10000,147062800
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Gaussian,"[6] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,5000,Tiny Some,5000,67600,10000,185874100
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Gaussian,"[7] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,6000,Tiny Some,6000,147500,10000,230645800
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Gaussian,"[8] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,7000,Tiny Some,7000,143200,10000,260347600
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Gaussian,"[9] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,8000,Tiny Some,8000,229500,10000,299827400
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Gaussian,"[10] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,9000,Tiny Some,9000,231100,10000,338064900
