Class,Test,Display,Timestamp,Queries,Range,Item Count,Scenario,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[1] Random Linear Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T22:42:18.4968508,20000,1000000.0,20000,Warmup,20000,845200,20000,1559543900
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[2] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,1000,Tiny Some,1000,18200,10000,37784100
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[3] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,2000,Tiny Some,2000,29900,10000,75395500
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[4] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,3000,Tiny Some,3000,41900,10000,115217400
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[5] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,4000,Tiny Some,4000,66100,10000,150365300
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[6] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,5000,Tiny Some,5000,72000,10000,191595700
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[7] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,6000,Tiny Some,6000,92900,10000,232452100
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[8] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,7000,Tiny Some,7000,102600,10000,265817400
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[9] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,8000,Tiny Some,8000,142500,10000,302157600
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[10] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,9000,Tiny Some,9000,258200,10000,335343200
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[11] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,10000,Small Some,10000,141500,10000,375872500
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[12] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,20000,Small Some,20000,308300,10000,747154200
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[13] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 30_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,30000,Small Some,30000,461000,10000,1113467400
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[14] Random Linear Sampling Scenario = Small Some, ITEM_COUNT = 40_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T22:42:18.4968508,10000,1000000.0,40000,Small Some,40000,718600,10000,1481561600
