Class,Test,Display,Timestamp,Queries,Scenario,Item Count,Range,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-19T16:43:36.4682841,20000,Warmup,20000,1000000.0,20000,6141000,20000,21006300
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,1000,1000000.0,1000,694800,10000,12131400
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,2000,1000000.0,2000,809100,10000,8372500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[4] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,3000,1000000.0,3000,902000,10000,6643000
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[5] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,4000,1000000.0,4000,998500,10000,5845100
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[6] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,5000,1000000.0,5000,1550600,10000,5981300
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[7] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,6000,1000000.0,6000,1813800,10000,5800900
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[8] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,7000,1000000.0,7000,1446300,10000,5400200
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[9] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,8000,1000000.0,8000,1722200,10000,5209200
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[10] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,9000,1000000.0,9000,1908400,10000,5572100
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[11] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Small Some,10000,1000000.0,10000,1979500,10000,4577800
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[12] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Small Some,20000,1000000.0,20000,3330300,10000,4793300
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[13] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 30_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Small Some,30000,1000000.0,30000,4763100,10000,7310900
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[14] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 40_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Small Some,40000,1000000.0,40000,7265300,10000,90489800
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[15] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 50_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Small Some,50000,1000000.0,50000,7284700,10000,5824200
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[16] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 60_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Small Some,60000,1000000.0,60000,9432500,10000,6834000
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[17] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 70_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Small Some,70000,1000000.0,70000,12458300,10000,7658600
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[18] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 80_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Small Some,80000,1000000.0,80000,12352800,10000,8033800
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[19] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 90_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Small Some,90000,1000000.0,90000,13962200,10000,10390200
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[20] Random Gaussian Sampling Scenario = Medium Some, ITEM_COUNT = 100_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Medium Some,100000,1000000.0,100000,17352300,10000,10952200
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[21] Random Gaussian Sampling Scenario = Medium Some, ITEM_COUNT = 200_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Medium Some,200000,1000000.0,200000,59524100,10000,80223500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[22] Random Gaussian Sampling Scenario = Medium Some, ITEM_COUNT = 300_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Medium Some,300000,1000000.0,300000,87733900,10000,18109100
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[23] Random Gaussian Sampling Scenario = Medium Some, ITEM_COUNT = 400_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Medium Some,400000,1000000.0,400000,128060700,10000,20190400
