Class,Test,Display,Timestamp,Queries,Scenario,Item Count,Range,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[1] Random Linear Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-19T16:43:36.4682841,20000,Warmup,20000,1000000.0,20000,11063300,20000,131281500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[2] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,1000,1000000.0,1000,691600,10000,21509400
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[3] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,2000,1000000.0,2000,1119800,10000,21544500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[4] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,3000,1000000.0,3000,7842600,10000,11137700
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[5] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,4000,1000000.0,4000,980300,10000,6645400
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[6] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,5000,1000000.0,5000,1419000,10000,6580800
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[7] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,6000,1000000.0,6000,1113900,10000,4567100
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[8] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,7000,1000000.0,7000,1453500,10000,5784400
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[9] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,8000,1000000.0,8000,1503000,10000,5647000
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[10] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:43:36.4682841,10000,Tiny Some,9000,1000000.0,9000,2669500,10000,7617700
