Class,Test,Display,Timestamp,Scenario,Item Count,Range,Queries,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[1] Random Gaussian Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T20:01:06.5462956,Warmup,20000,1000000.0,20000,20000,6320600,20000,7819400
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,1000,1000000.0,10000,1000,420900,10000,2084700
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,2000,1000000.0,10000,2000,1164700,10000,2215400
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[4] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,3000,1000000.0,10000,3000,1050200,10000,2183400
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[5] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,4000,1000000.0,10000,4000,1526900,10000,2522300
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[6] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,5000,1000000.0,10000,5000,84401600,10000,2003600
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[7] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,6000,1000000.0,10000,6000,1867500,10000,2146700
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[8] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,7000,1000000.0,10000,7000,2150000,10000,1934100
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[9] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,8000,1000000.0,10000,8000,2345400,10000,2076400
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[10] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,9000,1000000.0,10000,9000,2701400,10000,2308400
