Class,Test,Display,Timestamp,Scenario,Item Count,Range,Queries,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[1] Random Linear Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2023-12-28T20:01:06.5462956,Warmup,20000,1000000.0,20000,20000,40708100,20000,26900800
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[2] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,1000,1000000.0,10000,1000,1086300,10000,3920100
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[3] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,2000,1000000.0,10000,2000,2576800,10000,5348700
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[4] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,3000,1000000.0,10000,3000,2289000,10000,4300600
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[5] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,4000,1000000.0,10000,4000,2260300,10000,3553300
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[6] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,5000,1000000.0,10000,5000,4914400,10000,3713600
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[7] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,6000,1000000.0,10000,6000,2523300,10000,3545500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[8] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,7000,1000000.0,10000,7000,2916200,10000,3499800
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[9] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,8000,1000000.0,10000,8000,3374900,10000,3269900
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[10] Random Linear Sampling Scenario = Tiny Some, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Tiny Some,9000,1000000.0,10000,9000,3545000,10000,3396900
