Class,Test,Display,Timestamp,Item Count,Scenario,Queries,Range,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[1] Random Linear Sampling Scenario = Warmup, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 20_000",2024-01-14T16:57:54.7613512,20000,Warmup,20000,1000000.0,20000,149234300,20000,338013200
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[2] Random Linear Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-14T16:57:54.7613512,1000,Tiny,10000,1000000.0,1000,2924100,10000,12773900
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[3] Random Linear Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-14T16:57:54.7613512,1250,Tiny,10000,1000000.0,1250,1522000,10000,11012300
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[4] Random Linear Sampling Scenario = Tiny, ITEM_COUNT = 1_500, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-14T16:57:54.7613512,1500,Tiny,10000,1000000.0,1500,1626000,10000,7674600
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[5] Random Linear Sampling Scenario = Tiny, ITEM_COUNT = 1_750, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-14T16:57:54.7613512,1750,Tiny,10000,1000000.0,1750,1939500,10000,6973100
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[6] Random Linear Sampling Scenario = Tiny, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-14T16:57:54.7613512,2000,Tiny,10000,1000000.0,2000,2262300,10000,9154700
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[7] Random Linear Sampling Scenario = Tiny, ITEM_COUNT = 2_500, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-14T16:57:54.7613512,2500,Tiny,10000,1000000.0,2500,3582300,10000,11264200
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[8] Random Linear Sampling Scenario = Tiny, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-14T16:57:54.7613512,3000,Tiny,10000,1000000.0,3000,4613100,10000,11258300
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[9] Random Linear Sampling Scenario = Tiny, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-14T16:57:54.7613512,4000,Tiny,10000,1000000.0,4000,6712600,10000,14181300
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[10] Random Linear Sampling Scenario = Tiny, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-14T16:57:54.7613512,5000,Tiny,10000,1000000.0,5000,4485500,10000,9892200
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[11] Random Linear Sampling Scenario = Tiny, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-14T16:57:54.7613512,6000,Tiny,10000,1000000.0,6000,4998500,10000,10374300
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[12] Random Linear Sampling Scenario = Tiny, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-14T16:57:54.7613512,7000,Tiny,10000,1000000.0,7000,6740200,10000,11141300
